date,base_mom6_top20,recommended_daily50_cash
2025-01-16,175202.92642019616,63973.06575438
2025-01-17,178416.93268930409,63973.06575438
2025-01-21,181508.69017119732,65049.65788443825
2025-01-22,182640.1015228797,65455.136659499054
2025-01-23,182635.04247367123,65453.323581458986
2025-01-24,182180.7200566455,65290.50207815312
2025-01-27,166972.16009757304,59840.01030654967
2025-01-28,173116.01465023146,62041.864313458245
2025-01-29,174991.6405807799,62714.057060738174
2025-01-30,180519.61844996086,64695.191235877675
2025-01-31,179677.71881639372,64393.46858510584
2025-02-03,179069.83820072163,64175.6144093815
2025-02-04,181517.69700778858,65052.88578299411
2025-02-05,183913.64660002067,65911.55376818015
2025-02-06,184721.77522915488,66201.17345967931
2025-02-07,182688.55296156261,65472.500839183
2025-02-10,182441.46548630102,65383.94884909296
2025-02-11,179624.26734628246,64374.31247836031
2025-02-12,180131.859711111,64556.22503387325
2025-02-13,181554.17879067245,65065.960239613065
2025-02-14,183901.7321273765,65907.28382182853
2025-02-18,185803.30876409152,66588.77686517916
2025-02-19,183362.0690917006,65713.87767796575
2025-02-20,179037.1036329573,64163.882891556845
2025-02-21,169764.90144782787,60840.88177569224
2025-02-24,167114.33336497305,59890.96281133581
2025-02-25,162564.7127860119,59861.017329930146
2025-02-26,167351.52804107868,59861.017329930146
2025-02-27,159939.96463194437,59861.017329930146
2025-02-28,162972.1368452821,59861.017329930146
2025-03-03,158462.3009820727,59861.017329930146
2025-03-04,156980.75042717534,59861.017329930146
2025-03-05,159463.64081247937,59861.017329930146
2025-03-06,151170.28430511782,59861.017329930146
2025-03-07,151404.83361317986,59861.017329930146
2025-03-10,143354.13213386084,59861.017329930146
2025-03-11,144581.8589976958,59861.017329930146
2025-03-12,146717.87786441974,59861.017329930146
2025-03-13,141890.41408204747,59861.017329930146
2025-03-14,147162.5275810262,59861.017329930146
2025-03-17,149394.81363850954,59861.017329930146
2025-03-18,146028.41547866227,59861.017329930146
2025-03-19,150964.23224170896,59861.017329930146
2025-03-20,150011.0321251985,59861.017329930146
2025-03-21,149714.40761065236,59861.017329930146
2025-03-24,155457.41528529904,59861.017329930146
2025-03-25,154551.47925101567,59861.017329930146
2025-03-26,151312.4897554515,59861.017329930146
2025-03-27,149682.02522518602,59861.017329930146
2025-03-28,144204.76845785123,59861.017329930146
2025-03-31,144423.64820252088,59861.017329930146
2025-04-01,145497.80322296094,59861.017329930146
2025-04-02,147190.83138487753,59861.017329930146
2025-04-03,141337.15200565272,59861.017329930146
2025-04-04,131134.72352672697,59861.017329930146
2025-04-07,131477.44775548353,59861.017329930146
2025-04-08,129094.51028475993,59861.017329930146
2025-04-09,138941.57898600763,59861.017329930146
2025-04-10,134712.22037508045,59861.017329930146
2025-04-11,137535.85094485056,59861.017329930146
2025-04-14,139275.23131840533,59861.017329930146
2025-04-15,140742.15746228493,59861.017329930146
2025-04-16,139578.91435734264,59861.017329930146
2025-04-17,140475.56728252058,59861.017329930146
2025-04-21,136749.08378621738,59861.017329930146
2025-04-22,140864.09067837722,59861.017329930146
2025-04-23,142944.54684919142,59861.017329930146
2025-04-24,145146.91273921137,59861.017329930146
2025-04-25,145629.94206988422,59861.017329930146
2025-04-28,146929.17471115792,59861.017329930146
2025-04-29,147798.14495162747,59861.017329930146
2025-04-30,147487.51923667276,59861.017329930146
2025-05-01,148053.06187220447,59861.017329930146
2025-05-02,150169.34568017826,60686.74559726212
2025-05-05,150704.75197814085,60903.11509430199
2025-05-06,150566.33405005935,60847.177355813925
2025-05-07,151780.08973414294,61337.68280540205
2025-05-08,151097.05924702444,61061.65511666714
2025-05-09,150751.87599300334,60922.1589483491
2025-05-12,150514.85691578928,60826.37431017653
2025-05-13,151400.38729164205,61184.23667146347
2025-05-14,151237.0424986586,61118.225436936715
2025-05-15,152897.7715178494,61789.36267228345
